"S,SHADE FOLDER INDEX",,,
THICHNESS,D.NO,FINISH,SHEETS
1 MM,10031,AG,
1 MM,10032,AG,
1 MM,10034,AG,
1 MM,10096,AG,
1 MM,10854,AG,
1 MM,10866,AG,
1 MM,10879,AG,
1 MM,10330,AK,
1 MM,10351,AK,
1 MM,10375,AK,
1 MM,10297,AL,
1 MM,10298,AL,
1 MM,10299,AL,
1 MM,10376,AL,
1 MM,10005,AM,
1 MM,10016,AM,
1 MM,10030,AM,
1 MM,10037,AM,
1 MM,10081,AM,
1 MM,10088,AM,
1 MM,10089,AM,
1 MM,10090,AM,
1 MM,10094,AM,
1 MM,10096,AM,
1 MM,10330,AM,
1 MM,10351,AM,
1 MM,10875,AM,
1 MM,10876,AM,
1 MM,10878,AM,
1 MM,10889,AM,
1 MM,10890,AM,
1 MM,10898,AM,
1 MM,10899,AM,
1 MM,10026,AX,
1 MM,10027,AX,
1 MM,10031,AX,
1 MM,10032,AX,
1 MM,10081,AX,
1 MM,10088,AX,
1 MM,10094,AX,
1 MM,10299,AX,
1 MM,10866,AX,
1 MM,10867,AX,
1 MM,10141,DD,
1 MM,10143,DD,
1 MM,10144,DD,
1 MM,10145,DD,
1 MM,10148,DD,
1 MM,10149,DD,
1 MM,10005,DN,
1 MM,10016,DN,
1 MM,10024,DN,
1 MM,10030,DN,
1 MM,10031,DN,
1 MM,10088,DN,
1 MM,10089,DN,
1 MM,10096,DN,
1 MM,10297,DN,
1 MM,10299,DN,
1 MM,10351,DN,
1 MM,10634,DN,
1 MM,10635,DN,
1 MM,10809,DN,
1 MM,10867,DN,
1 MM,10889,DN,
1 MM,10890,DN,
1 MM,10005,FS,
1 MM,10033,FS,
1 MM,10089,FS,
1 MM,10090,FS,
1 MM,10330,FS,
1 MM,10351,FS,
1 MM,10376,FS,
1 MM,10018,FW,
1 MM,10022,FW,
1 MM,10025,FW,
1 MM,10085,FW,
1 MM,10557,FW,
1 MM,10558,FW,
1 MM,10636,FW,
1 MM,10637,FW,
1 MM,10824,FW,
1 MM,10875,FW,
1 MM,10876,FW,
1 MM,10896,FW,
1 MM,10822,SC,
1 MM,10823,SC,
1 MM,10875,SC,
1 MM,10876,SC,
1 MM,10891,SC,
1 MM,10896,SC,
1 MM,10897,SC,
1 MM,10809,SF,
1 MM,10811,SF,
1 MM,10822,SF,
1 MM,10823,SF,
1 MM,10824,SF,
1 MM,10827,SF,
1 MM,10828,SF,
1 MM,10832,SF,
1 MM,10880,SF,
1 MM,10882,SF,
1 MM,10884,SF,
1 MM,10891,SF,
1 MM,10896,SF,
1 MM,10897,SF,
1 MM,10832,SG,
1 MM,10868,SG,
1 MM,10869,SG,
1 MM,10878,SG,
1 MM,10886,SG,
1 MM,10809,SL,
1 MM,10824,SL,
1 MM,10886,SL,
1 MM,10892,SL,
1 MM,10896,SL,
1 MM,10897,SL,
1 MM,10898,SL,
1 MM,10899,SL,
1 MM,10634,SP,
1 MM,10635,SP,
1 MM,10784,SP,
1 MM,10792,SP,
1 MM,10822,SP,
1 MM,10330,UG,
1 MM,10344,UG,
1 MM,10347,UG,
1 MM,10351,UG,
1 MM,10375,UG,
1 MM,10376,UG,
1 MM,10811,UG,
1 MM,10841,UG,
1 MM,10866,UG,
1 MM,10867,UG,
1 MM,10868,UG,
1 MM,10869,UG,
1 MM,10886,UG,
1 MM,10891,UG,
1 MM,10892,UG,
1 MM,10893,UG,
1 MM,10557,VR,
1 MM,10558,VR,
1 MM,10636,VR,
1 MM,10637,VR,
1 MM,10813,VZ,
1 MM,10880,VZ,
1 MM,10882,VZ,
1 MM,10884,VZ,
1 MM,10898,VZ,
1 MM,10899,VZ,
TOTAL,,,
