0.8 SANISH NEW 30-05-26,,,
THICKNESS,DESIGN NO,FINISH,SHEETS
0.8,6012,AB,
0.8,6015,AB,
0.8,6021,AB,
0.8,6099,AB,
0.8,6004,AC,
0.8,6031,AC,
0.8,6033,AC,
0.8,6039,AC,
0.8,6066,AC,
0.8,6089,AC,
0.8,6090,AC,
0.8,6568,AC,
0.8,6659,AC,
0.8,6688,AC,
0.8,6950,AC,
0.8,6536,AP,
0.8,6583,AP,
0.8,6004,BN,
0.8,6006,BN,
0.8,6009,BN,
0.8,6040,BN,
0.8,6946,CD,
0.8,6947,CD,
0.8,6306,CR,
0.8,6354,CR,
0.8,6362,CR,
0.8,6363,CR,
0.8,6486,CS,
0.8,6582,CS,
0.8,6583,CS,
0.8,6594,CS,
0.8,6595,CS,
0.8,6598,CS,
0.8,6689,CS,
0.8,6754,CS,
0.8,6790,CS,
0.8,6577,DR,
0.8,6698,DR,
0.8,6726,DR,
0.8,6727,DR,
0.8,6754,DR,
0.8,6963,DR,
0.8,6012,EN,
0.8,6526,EN,
0.8,6583,EN,
0.8,6598,EN,
0.8,6107,FG,
0.8,6108,FG,
0.8,6110,FG,
0.8,6163,FG,
0.8,6168,FG,
0.8,6171,FG,
0.8,6176,FG,
0.8,6177,FG,
0.8,6303,FG,
0.8,6370,FG,
0.8,6395,FG,
0.8,6396,FG,
0.8,6688,FG,
0.8,6008,FK,
0.8,6030,FK,
0.8,6031,FK,
0.8,6086,FK,
0.8,6559,FK,
0.8,6560,FK,
0.8,6561,FK,
0.8,6583,FK,
0.8,6596,FK,
0.8,6597,FK,
0.8,6598,FK,
0.8,6909,FK,
0.8,6312,GR,
0.8,6314,GR,
0.8,6355,GR,
0.8,6357,GR,
0.8,6359,GR,
0.8,6360,GR,
0.8,6012,HB,
0.8,6030,HB,
0.8,6031,HB,
0.8,6090,HB,
0.8,6511,HB,
0.8,6513,HB,
0.8,6596,HB,
0.8,6597,HB,
0.8,6708,HB,
0.8,6696,HZ,
0.8,6762,HZ,
0.8,6778,HZ,
0.8,6599 H,HZ,
0.8,6694 H,HZ,
0.8,6697 H,HZ,
0.8,6698 H,HZ,
0.8,6705 H,HZ,
