0.92 THREE FOLDER INDEX ,,,
THICKNESS,DESIGN NO. ,FINISH,SHEET
0.9,3380,AZ,
0.9,3819,AZ,
0.9,3503,BM,
0.9,3647,BM,
0.9,3648,BM,
0.9,3670,BM,
0.9,3671,BM,
0.9,3317,BR,
0.9,3321,BR,
0.9,3365,BR,
0.9,3032,CT,
0.9,3333,CT,
0.9,3337,CT,
0.9,3364,CT,
0.9,3366,CT,
0.9,3367,CT,
0.9,3368,CT,
0.9,3378,CT,
0.9,3856,CT,
0.9,3857,CT,
0.9,3926,CV,
0.9,3927,CV,
0.9,3038,DB,
0.9,3040,DB,
0.9,3041,DB,
0.9,3042,DB,
0.9,3522,DB,
0.9,3523,DB,
0.9,3524,DB,
0.9,3819,DB,
0.9,3013,DF,
0.9,3016,DF,
0.9,3030,DF,
0.9,3031,DF,
0.9,3033,DF,
0.9,3037,DF,
0.9,3038,DF,
0.9,3040,DF,
0.9,3044,DF,
0.9,3079,DF,
0.9,3088,DF,
0.9,3090,DF,
0.9,3378,DF,
0.9,3379,DF,
0.9,3380,DF,
0.9,3657,DF,
0.9,3664,DF,
0.9,3685,DF,
0.9,3686,DF,
0.9,3819,DF,
0.9,3834,DF,
0.9,3836,DF,
0.9,3107,DL,
0.9,3108,DL,
0.9,3109,DL,
0.9,3118,DL,
0.9,3136,DL,
0.9,3161,DL,
0.9,3163,DL,
0.9,3168,DL,
0.9,3115,FH,
0.9,3116,FH,
0.9,3117,FH,
0.9,3120,FH,
0.9,3164,FH,
0.9,3170,FH,
0.9,3175,FH,
0.9,3685,FH,
0.9,3686,FH,
0.9,3837,FH,
0.9,3527,HT,
0.9,3528,HT,
0.9,3543,HT,
0.9,3544,HT,
0.9,3624,HT,
0.9,3625,HT,
0.9,3630,HT,
0.9,3651,HT,
0.9,3859,HT,
0.9,3937,HT,
0.9,3938,HT,
0.9,3031,LG,
0.9,3090,LG,
0.9,3120,LG,
0.9,3012,LK,
0.9,3551 H,LK,
0.9,3785 H,LK,
0.9,3786 H,LK,
0.9,3118,MF,
0.9,3161,MF,
0.9,3163,MF,
0.9,3168,MF,
0.9,3914,MF,
0.9,3024,MG,
0.9,3508,MG,
0.9,3512,MG,
0.9,3519,MG,
0.9,3521,MG,
0.9,3543,MG,
0.9,3544,MG,
0.9,3548,MG,
0.9,3685,MG,
0.9,3686,MG,
0.9,3532,ML,
0.9,3534,ML,
0.9,3651,ML,
0.9,3664,ML,
0.9,3666,ML,
0.9,3751,ML,
0.9,3752,ML,
0.9,3027,MN,
0.9,3030,MN,
0.9,3031,MN,
0.9,3039,MN,
0.9,3043,MN,
0.9,3085,MN,
0.9,3088,MN,
0.9,3090,MN,
0.9,3115,NL,
0.9,3117,NL,
0.9,3120,NL,
0.9,3164,NL,
0.9,3170,NL,
0.9,3172,NL,
0.9,3381,NL,
0.9,3531,OG,
0.9,3661,OG,
0.9,3835,OG,
0.9,3849,OG,
0.9,3030,OX,
0.9,3084,OX,
0.9,3369,OX,
0.9,3547,OZ,
0.9,3622,OZ,
0.9,3623,OZ,
0.9,3662,OZ,
0.9,3716,OZ,
0.9,3846,OZ,
0.9,3847,OZ,
0.9,3858,OZ,
0.9,3859,OZ,
0.9,3528,RL,
0.9,3531,RL,
0.9,3532,RL,
0.9,3012,RM,
0.9,3551 H,RM,
0.9,3552 H,RM,
0.9,3623 H,RM,
0.9,3624 H,RM,
0.9,3670 H,RM,
0.9,3855 H,RM,
0.9,3549,RP,
0.9,3550,RP,
0.9,3835,RP,
0.9,3849,RP,
0.9,3532,SF,
0.9,3534,SF,
0.9,3549,SF,
0.9,3550,SF,
0.9,3551,SF,
0.9,3552,SF,
0.9,3602,SF,
0.9,3623,SF,
0.9,3653,SF,
0.9,3662,SF,
0.9,3664,SF,
0.9,3665,SF,
0.9,3666,SF,
0.9,3668,SF,
0.9,3670,SF,
0.9,3671,SF,
0.9,3695,SF,
0.9,3846,SF,
0.9,3847,SF,
0.9,3902,SF,
0.9,3903,SF,
0.9,3339 H,SH,
0.9,3340 H,SH,
0.9,3907 H,SH,
0.9,3003,SN,
0.9,3014,SN,
0.9,3019,SN,
0.9,3021,SN,
0.9,3023,SN,
0.9,3030,SN,
0.9,3031,SN,
0.9,3032,SN,
0.9,3035,SN,
0.9,3040,SN,
0.9,3042,SN,
0.9,3043,SN,
0.9,3045,SN,
0.9,3052,SN,
0.9,3056,SN,
0.9,3079,SN,
0.9,3084,SN,
0.9,3085,SN,
0.9,3090,SN,
0.9,3339,SN,
0.9,3340,SN,
0.9,3365,SN,
0.9,3366,SN,
0.9,3534,SN,
0.9,3545,SN,
0.9,3547,SN,
0.9,3685,SN,
0.9,3686,SN,
0.9,3710,SN,
0.9,3835,SN,
0.9,3837,SN,
0.9,3602,SS,
0.9,3647,SS,
0.9,3664,SS,
0.9,3665,SS,
0.9,3666,SS,
0.9,3668,SS,
0.9,3003,UG,
0.9,3013,UG,
0.9,3014,UG,
0.9,3019,UG,
0.9,3020,UG,
0.9,3021,UG,
0.9,3023,UG,
0.9,3030,UG,
0.9,3031,UG,
0.9,3032,UG,
0.9,3033,UG,
0.9,3034,UG,
0.9,3035,UG,
0.9,3043,UG,
0.9,3045,UG,
0.9,3052,UG,
0.9,3056,UG,
0.9,3079,UG,
0.9,3084,UG,
0.9,3085,UG,
0.9,3090,UG,
0.9,3317,UG,
0.9,3321,UG,
0.9,3333,UG,
0.9,3364,UG,
0.9,3365,UG,
0.9,3367,UG,
0.9,3368,UG,
0.9,3378,UG,
0.9,3379,UG,
0.9,3380,UG,
0.9,3381,UG,
0.9,3543,UG,
0.9,3545,UG,
0.9,3547,UG,
0.9,3550,UG,
0.9,3551,UG,
0.9,3552,UG,
0.9,3622,UG,
0.9,3623,UG,
0.9,3630,UG,
0.9,3653,UG,
0.9,3662,UG,
0.9,3670,UG,
0.9,3671,UG,
0.9,3695,UG,
0.9,3835,UG,
0.9,3846,UG,
0.9,3847,UG,
0.9,3849,UG,
0.9,3856,UG,
0.9,3857,UG,
0.9,3858,UG,
0.9,3859,UG,
0.9,3942,UG,
